[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 Temp (K), Cp (J/gr), Conductivity (W/cm.K), Viscosity (gr/cm.s), check this !!!                     
[NUMBER_OF_SPECIES]
           4
[NUMBER_OF_VARIABLES]
           4

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) Temp             Cp               Lambda           Eta             
 132 0.28369868050944E-001 0.13810864060375E+004 0.14164001331990E+001 0.10490252092180E-002 0.51463073347306E-003
 133 0.28605901283339E-001 0.13916267785358E+004 0.14180645408409E+001 0.10562034509506E-002 0.51724111939451E-003
 134 0.28837666958574E-001 0.14019174082612E+004 0.14196593365178E+001 0.10632074836277E-002 0.51978452365451E-003
 135 0.29065407010035E-001 0.14119685293979E+004 0.14211885462553E+001 0.10700452205171E-002 0.52226409654810E-003
 136 0.29289367494095E-001 0.14217906236495E+004 0.14226560357933E+001 0.10767243536096E-002 0.52468288125292E-003
 137 0.29509808415723E-001 0.14313948033548E+004 0.14240655732531E+001 0.10832525041121E-002 0.52704387066065E-003
 138 0.29726982596307E-001 0.14407918435810E+004 0.14254206928016E+001 0.10896369298537E-002 0.52934990358582E-003
 139 0.29941107051202E-001 0.14499909335077E+004 0.14267245333347E+001 0.10958841219383E-002 0.53160352155458E-003
 140 0.30152356906874E-001 0.14589994438883E+004 0.14279798342858E+001 0.11019996780133E-002 0.53380692601147E-003
 141 0.30360884700491E-001 0.14678237832618E+004 0.14291890803085E+001 0.11079885522268E-002 0.53596207114732E-003
 142 0.30566842777204E-001 0.14764703513077E+004 0.14303546453078E+001 0.11138554289167E-002 0.53807080040309E-003
 143 0.30770389480393E-001 0.14849457774276E+004 0.14314788290198E+001 0.11196048470399E-002 0.54013489248381E-003
 144 0.30971675562519E-001 0.14932563340194E+004 0.14325637835890E+001 0.11252411299194E-002 0.54215603715831E-003
 145 0.31170833272817E-001 0.15014074887116E+004 0.14336114649352E+001 0.11307685012701E-002 0.54413587774819E-003
 146 0.31367998621305E-001 0.15094048222089E+004 0.14346237603002E+001 0.11361912767711E-002 0.54607608028712E-003
 147 0.31563336921075E-001 0.15172550296724E+004 0.14356026149928E+001 0.11415138057587E-002 0.54797831305947E-003
 148 0.31757017131462E-001 0.15249648352160E+004 0.14365498938177E+001 0.11467403350791E-002 0.54984419847618E-003
 149 0.31949176833590E-001 0.15325395968805E+004 0.14374672174633E+001 0.11518748468222E-002 0.55167525574960E-003
 150 0.32139936319326E-001 0.15399839025077E+004 0.14383560488202E+001 0.11569209426193E-002 0.55347286044368E-003
 151 0.32329424967117E-001 0.15473026072713E+004 0.14392178238459E+001 0.11618819720975E-002 0.55523829120577E-003
